cod_dane,elev_media,elev_min,pendiente_media,pendiente_min,pct_plano,flujo_acum_media,flujo_acum_max,agua_ocurrencia,twi_medio
91540,108.91578703295036,57,4.013769742646048,0.0,0.19694988716253406,1676.496032594644,6406,0.25961208614528475,4.48861043839107
91001,125.10200343494802,43,4.529522499100376,0.0,0.1475864873787157,300.4451984403875,23938,0.04611323068489435,4.282653005613328
91798,116.39160175553208,0,3.9112903483540684,0.0,0.20024147633228837,1947.8806116920102,496022,0.836672553078841,4.5450399685412135
91263,146.6274357564474,79,4.08989205595862,0.0,0.18724651476837376,847.3991925678715,289865,0.3227855522614264,4.452150930456931
91536,127.15167372686405,60,4.247494565593576,0.0,0.1637319305271721,944.886214421976,624565,0.2998395249718065,4.407406536015274
91530,181.72666862355157,108,4.265242707228356,0.0,0.18273951154393006,474.66829959105644,148566,0.11764358559213077,4.407491205209577
91407,121.7576920014205,31,4.1022847668155,0.0,0.20823841411527214,4925.061696951201,698087,2.0764119124703746,4.58340878261627
91405,167.63200826158769,79,4.663177780428869,0.0,0.14337630569908164,794.2383758750251,300955,0.3671354637805868,4.32407875967124
91669,156.55412191631646,39,4.910110194557503,0.0,0.1484191855941188,2964.6751546916175,552318,1.2398522877129414,4.344672376457482
91460,158.5524563189004,69,5.125763324306631,0.0,0.14598619461595289,1649.8272791750064,624579,0.6183695827591228,4.261146967982456
91430,173.5468727554035,86,5.089874758997166,0.0,0.1534225846325949,1640.7237968182092,167245,0.8122486253377935,4.329214072276557
05145,1801.7479575072996,620,24.49742562981944,0.0,0.0014519079230361856,3049.056421004715,123331,0.11598102167802074,2.520344400885717
05364,2295.12787581778,1296,20.18689176023114,0.0,0.005944194804051288,27.017422823974517,1812,1.7731847425380077E-6,2.6776225819199007
05483,1622.7649050053542,475,27.46271983905999,0.0,0.0017025421004793141,51.604532930582934,2764,0.0026584435100830894,2.3144090544824136
05055,1381.7817108078455,239,26.727411401645952,0.0,0.00152498173526296,128.77442724471007,5367,5.47868067884729E-4,2.4006983737294023
05856,1068.4900838160559,580,15.025698787348839,0.0,0.012607776871035398,1445.6840228665592,133650,0.054627676311622575,3.1224709834558957
05034,2117.5968022117595,1016,26.72032164527546,0.0,0.002002294479110462,48.50858605248366,3085,7.223035891458033E-5,2.3425754848463707
05091,1952.540914323705,966,27.54094098308739,0.0,0.002264855240083785,51.60766028862224,3495,0.0,2.2933366559616317
05789,1734.9376639241736,551,18.363823607298947,0.0,0.01086631312894606,417.92685226742185,135177,0.06445035605834273,2.906962336501326
05390,810.159597282905,553,14.668603313825672,0.0,0.020736189062587354,6077.025250942853,133654,0.584895518490601,3.5467637223071473
05353,1198.2936290438918,735,21.22637392592181,0.0,0.005810277053873196,252.37515484383835,3998,0.0,2.9733690821533365
05368,1705.7184348271653,530,16.669052148471614,0.0,0.011424980955922552,2361.4165760686337,136562,0.11822878114615847,3.0580594393583524
05576,1604.6873064220401,562,22.311829777234824,0.0,0.0034408183881347166,131.7600701873082,6703,8.937640046869779E-4,2.5259800605882545
05756,1345.1702097909094,140,19.253755672341175,0.0,0.02514238942466402,305.6310264891272,302888,0.16002707443170708,2.890167062350107
05101,1613.701847181881,657,26.977597054186102,0.0,0.002581188097830027,55.61169212753714,5325,0.0,2.337405263009984
05792,1124.15052975538,505,20.33231141113873,0.0,0.009969982543470245,4166.362477201722,137769,0.2836255030357583,3.0416734044594222
05002,1946.3856749996453,600,22.812614489773168,0.0,0.0039804117543615755,97.75382889785106,8586,0.0029277939451784413,2.560618124527449
05467,1696.3597956947574,805,26.5174007349468,0.0,0.0011116106104686406,104.2508212038885,3117,8.130015576558654E-6,2.34845636377607
05652,872.674989510932,283,22.10590915273158,0.0,0.004716505497228952,112.4511644239429,6677,0.005569831733998484,2.605584191809011
05282,1229.6831556026943,530,16.811251903980516,0.0,0.013335042095835806,1908.8704269296513,136569,0.2552775662574292,3.039299001247875
05679,1443.4665732194226,591,24.360463430076017,0.0,0.003062179871417712,82.73322637698463,3745,0.002328128407652161,2.4649141967317894
05861,1117.6961870590665,510,19.311364967162923,0.0,0.008595771870917951,2395.33631716243,146110,0.22768990671649597,2.89502212104238
05400,2451.053920770313,2119,14.166646904474215,0.0,0.019854683258774253,28.407648088626882,639,0.010370675093847379,3.071599888125841
05591,221.90438884133826,128,8.207368854419416,0.0,0.11568929556801008,6605.258807103481,311680,0.887508271289579,4.136632633327665
05376,2248.829799446828,1264,15.824624447448194,0.0,0.024238567210288855,43.62121627887583,1452,1.677147877627679E-4,3.1525883374158745
05642,1719.828564130439,513,27.680082267655358,0.0,0.0017820038019792349,398.49286891091094,144627,0.054273995700104535,2.323409718206579
05030,1515.2306823842632,734,23.058423963005364,0.0,0.005328431934062532,27.020998677028388,643,9.758890815054547E-4,2.6003842461267834
05129,2108.4031086514333,1264,21.440041107706218,0.0,0.005034472267360402,15.009970056535364,487,8.659464738541497E-6,2.545746989524057
05197,1389.9961449662705,454,21.537976235801896,0.0,0.003688571908133158,59.16791079330993,1679,0.0014367241344775772,2.682092261032365
05660,943.2685634314402,207,20.52961233737847,0.0,0.00545552865124182,136.62507606947594,7524,0.011460026489675142,2.7155019788059627
05809,1246.05871681109,482,23.83237921213048,0.0,0.0031312764379704083,2692.063631905026,146369,0.14701377896188766,2.645497582508299
05148,2083.45490776107,702,20.128940695616883,0.0,0.010824023120092289,20.551908005919422,648,5.733350719457447E-4,2.707494147974864
05607,2384.4737430125138,1705,17.852297172926445,0.0,0.011768849758175848,22.605646657035084,907,0.34747178312014665,2.794135217538087
05631,1826.6117062766064,1552,16.623675010640007,0.0,0.032049468545572994,41.663741287449426,737,1.5173308187293958E-5,3.0098089780203723
05697,2214.726278958259,1619,13.940669934359454,0.0,0.011859182465832627,12.479901307738157,295,7.528761122280638E-7,2.9370803486598
05209,1402.4361768545452,484,23.91634423679467,0.0,0.002720265058340574,3459.151995506744,148372,0.3237269832608936,2.6070693760094654
05380,2046.6875178205682,1590,19.739406569774435,0.0,0.010487121986475998,33.30608555222671,645,1.1408966477889468E-6,2.883267636241743
05036,1802.986527761093,898,26.813641503945604,0.0,0.0017790709079812009,15.902416335810459,461,2.453576967734825E-5,2.2468359261243074
05266,2259.7645370593605,1511,14.617660802072413,0.0,0.022198138029570314,19.263760415507925,1101,2.9253656575889638E-5,3.0620978421476335
05360,1654.5512669592317,1491,10.566476426491644,0.0,0.07619912408416099,103.25550126449376,1374,5.654625246655429E-4,4.085608448085018
05313,1769.6808866835706,717,18.578735083726198,0.0,0.004785699190558379,33.483413077901744,2358,0.002751907413605532,2.766851956874389
05615,2166.6920567995307,2061,10.300946032837157,0.0,0.04065476038566593,110.77406197169083,3829,0.016725199378034156,3.597517564878009
05059,1046.6618755976017,466,25.13672669971037,0.0,0.004040627584138802,5721.664673535238,150505,0.37480044011628255,2.6724342292449292
05440,2132.4330600056023,1871,12.183553146451896,0.0,0.01934654544863201,112.62881225769469,4292,2.831220959547944E-4,3.2632140090775166
